#,----------------------------------,WARNING,----------------------------------------,,,,,,,,,,,,,,
#,Some,of,the,data,that,you,have,obtained,from,this,U.S.,Geological,Survey,database,may,not,
#,have,received,Director's,approval.,Any,such,data,values,are,qualified,as,provisional,and,,,,
#,are,subject,to,revision.,Provisional,data,are,released,on,the,condition,that,neither,the,,,
#,USGS,nor,the,United,States,Government,may,be,held,liable,for,any,damages,resulting,from,its,use.
#,Go,to,http://help.waterdata.usgs.gov/policies/provisional-data-statement,for,more,information.,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#,File-format,description:,http://help.waterdata.usgs.gov/faq/about-tab-delimited-output,,,,,,,,,,,,,,
#,Automated-retrieval,info:,http://help.waterdata.usgs.gov/faq/automated-retrievals,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#,Contact:,gs-w_support_nwisweb@usgs.gov,,,,,,,,,,,,,,,
#,retrieved:,10/25/2024,18:42:04,-04:00,(nadww02),,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#,Data,for,the,following,1,site(s),are,contained,in,this,file,,,,,,
#,USGS,12510500,YAKIMA,RIVER,AT,"KIONA,",WA,,,,,,,,,,
#,-----------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#,TS_ID,-,An,internal,number,representing,a,time,series.,,,,,,,,
#,,,,,,,,,,,,,,,,,
#,Data,provided,for,site,12510500,,,,,,,,,,,,
#,TS_ID,Parameter,Description,,,,,,,,,,,,,,
#,151886,60,"Discharge,",cubic,feet,per,second,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#,Data-value,qualification,codes,included,in,this,output:,,,,,,,,,,
#,A,Approved,for,publication,--,Processing,and,review,completed.,,,,,,,,
#,,,,,,,,,,,,,,,,,
agency_cd,site_no,datetime,tz_cd,151886_00060,151886_00060_cd,,,,,,,,,,,,
5s,15s,20d,6s,14n,10s,,,,,,,,,,,,
USGS,12510500,7/25/2022,0:00,PDT,805,A,,,,,,,,,,,
USGS,12510500,7/25/2022,0:15,PDT,805,A,,,,,,,,,,,
USGS,12510500,7/25/2022,0:30,PDT,805,A,,,,,,,,,,,
USGS,12510500,7/25/2022,0:45,PDT,805,A,,,,,,,,,,,
USGS,12510500,7/25/2022,1:00,PDT,805,A,,,,,,,,,,,
USGS,12510500,7/25/2022,1:15,PDT,805,A,,,,,,,,,,,
USGS,12510500,7/25/2022,1:30,PDT,805,A,,,,,,,,,,,
USGS,12510500,7/25/2022,1:45,PDT,805,A,,,,,,,,,,,
USGS,12510500,7/25/2022,2:00,PDT,805,A,,,,,,,,,,,
USGS,12510500,7/25/2022,2:15,PDT,805,A,,,,,,,,,,,
USGS,12510500,7/25/2022,2:30,PDT,805,A,,,,,,,,,,,
USGS,12510500,7/25/2022,2:45,PDT,805,A,,,,,,,,,,,
USGS,12510500,7/25/2022,3:00,PDT,805,A,,,,,,,,,,,
USGS,12510500,7/25/2022,3:15,PDT,805,A,,,,,,,,,,,
USGS,12510500,7/25/2022,3:30,PDT,805,A,,,,,,,,,,,
USGS,12510500,7/25/2022,3:45,PDT,805,A,,,,,,,,,,,
USGS,12510500,7/25/2022,4:00,PDT,805,A,,,,,,,,,,,
USGS,12510500,7/25/2022,4:15,PDT,805,A,,,,,,,,,,,
USGS,12510500,7/25/2022,4:30,PDT,815,A,,,,,,,,,,,
USGS,12510500,7/25/2022,4:45,PDT,815,A,,,,,,,,,,,
USGS,12510500,7/25/2022,5:00,PDT,815,A,,,,,,,,,,,
USGS,12510500,7/25/2022,5:15,PDT,815,A,,,,,,,,,,,
USGS,12510500,7/25/2022,5:30,PDT,815,A,,,,,,,,,,,
USGS,12510500,7/25/2022,5:45,PDT,815,A,,,,,,,,,,,
