# HeaderRows_9
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# Latitude; decimal_degrees_WGS84; N/A; Manually recorded in metadata from tablet or personal phone.
# Longitude; decimal_degrees_WGS84; N/A; Manually recorded in metadata from tablet or personal phone.
# Temperature; degree_celsius; Minidot_03; PME miniDOT Logger with temperature sensor.
# Dissolved_Oxygen; milligrams_per_liter; Minidot_03; PME miniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Pressure; millimeters_mercury; BaroExtrap_01; In Situ Rugged BaroTROLL 100 ABS with piezoresistive ceramic pressure sensor.
# Depth; meters; Depth_01; Calculated using (1) In Situ Rugged BaroTROLL 100 ABS with piezoresistive ceramic pressure sensor (2) Onset HOBO water level logger U20L-04 (13 feet) with ceramic pressure sensor and (3) average reach depth.
DateTime,Parent_ID,Site_ID,Latitude,Longitude,Temperature,Dissolved_Oxygen,Pressure,Depth
 2022-07-29 00:00:00,SSS022,S15,47.363633,-121.107253,15.68,8.733,700.2,0.05
 2022-07-29 00:01:00,SSS022,S15,47.363633,-121.107253,15.69,8.733,700.2,0.05
 2022-07-29 00:02:00,SSS022,S15,47.363633,-121.107253,15.69,8.73,700.2,0.05
 2022-07-29 00:03:00,SSS022,S15,47.363633,-121.107253,15.67,8.735,700.2,0.05
 2022-07-29 00:04:00,SSS022,S15,47.363633,-121.107253,15.7,8.725,700.2,0.05
 2022-07-29 00:05:00,SSS022,S15,47.363633,-121.107253,15.68,8.732,700.2,0.05
 2022-07-29 00:06:00,SSS022,S15,47.363633,-121.107253,15.68,8.727,700.2,0.05
 2022-07-29 00:07:00,SSS022,S15,47.363633,-121.107253,15.66,8.738,700.2,0.05
 2022-07-29 00:08:00,SSS022,S15,47.363633,-121.107253,15.66,8.741,700.2,0.05
 2022-07-29 00:09:00,SSS022,S15,47.363633,-121.107253,15.66,8.738,700.2,0.05
 2022-07-29 00:10:00,SSS022,S15,47.363633,-121.107253,15.63,8.748,700.2,0.05
 2022-07-29 00:11:00,SSS022,S15,47.363633,-121.107253,15.66,8.738,700.2,0.05
 2022-07-29 00:12:00,SSS022,S15,47.363633,-121.107253,15.64,8.742,700.2,0.05
 2022-07-29 00:13:00,SSS022,S15,47.363633,-121.107253,15.65,8.736,700.2,0.05
 2022-07-29 00:14:00,SSS022,S15,47.363633,-121.107253,15.64,8.74,700.2,0.05
 2022-07-29 00:15:00,SSS022,S15,47.363633,-121.107253,15.62,8.744,700.3,0.05
 2022-07-29 00:16:00,SSS022,S15,47.363633,-121.107253,15.64,8.743,700.3,0.05
 2022-07-29 00:17:00,SSS022,S15,47.363633,-121.107253,15.64,8.739,700.3,0.05
 2022-07-29 00:18:00,SSS022,S15,47.363633,-121.107253,15.64,8.74,700.3,0.05
 2022-07-29 00:19:00,SSS022,S15,47.363633,-121.107253,15.62,8.74,700.3,0.05
 2022-07-29 00:20:00,SSS022,S15,47.363633,-121.107253,15.63,8.731,700.3,0.05
 2022-07-29 00:21:00,SSS022,S15,47.363633,-121.107253,15.62,8.749,700.3,0.05
 2022-07-29 00:22:00,SSS022,S15,47.363633,-121.107253,15.62,8.745,700.3,0.05
 2022-07-29 00:23:00,SSS022,S15,47.363633,-121.107253,15.6,8.748,700.3,0.05
 2022-07-29 00:24:00,SSS022,S15,47.363633,-121.107253,15.62,8.739,700.3,0.05
 2022-07-29 00:25:00,SSS022,S15,47.363633,-121.107253,15.6,8.753,700.3,0.05
 2022-07-29 00:26:00,SSS022,S15,47.363633,-121.107253,15.61,8.746,700.3,0.05
 2022-07-29 00:27:00,SSS022,S15,47.363633,-121.107253,15.6,8.743,700.3,0.05
 2022-07-29 00:28:00,SSS022,S15,47.363633,-121.107253,15.6,8.746,700.3,0.05
 2022-07-29 00:29:00,SSS022,S15,47.363633,-121.107253,15.58,8.754,700.3,0.05
 2022-07-29 00:30:00,SSS022,S15,47.363633,-121.107253,15.59,8.753,700.3,0.04
